formula,O-2p
Li2TiO3,0.7679999999999999
Na2TiSiO5,0.7679999999999999
SnO2,0.768
BaNb2O6,0.768
KTaWO6,0.768
Al2O3,0.768
CaTiO3,0.7680000000000002
BaBAsO5,0.7690000000000001
KTaO3,0.77
NbVO5,0.7720000000000001
LiSb3O8,0.7720000000000004
Rb2W2O7,0.774
K2Zr(BO3)2,0.774
K2W2O7,0.7750000000000001
MgTa2O6,0.776
BeAl2O4,0.7760000000000002
Mg(SbO3)2,0.7760000000000002
Ta2O5,0.7799999999999999
GaSbO4,0.782
BeO,0.782
NbBO4,0.7839999999999999
AlSbO4,0.784
TaBO4,0.7919999999999999
